song_id,quadrant,artist,title,duration,mood,mood_all,mood_all_weights,genre,genre_weights,theme,theme_weights,style,style_weights,arousal,valence,audio_path
A002,Q4,Rod Stewart,Country Comfort,282.0,"Agreeable,Positive,Relaxed,Romantic,Serious,Striding,Strong,Yearning","Agreeable,Positive,Relaxed,Romantic,Serious,Striding,Strong,Yearning","5,5,5,5,5,5,5,5",Pop/Rock,5,"Biographical,Country Life,Family,Lifecycle,Open Road,Reminiscing,Travel,Wisdom","5,5,5,5,5,5,5,5","Adult Contemporary,Contemporary Pop/Rock","5,5",0.375,0.7125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/A002.mp3
A014,Q1,Jamiroquai,Feels Just Like It Should,274.0,"Bright,Carefree,Celebratory,Effervescent,Energetic,Exciting,Exuberant,Fun,Gleeful,Greasy,Joyous,Lively,Quirky,Rollicking,Rousing,Slick","Bright,Carefree,Celebratory,Effervescent,Energetic,Exciting,Exuberant,Fun,Gleeful,Greasy,Joyous,Lively,Quirky,Rollicking,Rousing,Slick","5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8","Electronic,Pop/Rock,R&B","6,7,9","Club,Day Driving,Partying,Pool Party,TGIF","6,7,7,7,7","Acid Jazz,Adult Alternative Pop/Rock,Alternative Dance,Alternative/Indie Rock,Dance-Pop,Urban","5,6,7,9,9,9",0.9,0.7125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/A014.mp3
A090-94,Q2,2Pac,Fuck the World,253.0,"Angry,Angst-Ridden,Anguished/Distraught,Complex,Fierce,Harsh,Hostile,Menacing,Somber,Thuggish,Uncompromising","Angry,Angst-Ridden,Anguished/Distraught,Brooding,Complex,Dramatic,Elegant,Fierce,Fiery,Harsh,Hostile,Intense,Melancholy,Menacing,Poignant,Reflective,Searching,Somber,Street-Smart,Theatrical,Thuggish,Uncompromising,Yearning","5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,9,9,9,9",Rap,8,"Affirmation,Cool & Cocky,Empowering,Introspection,Motivation,Reflection,Revolutionary","5,5,5,6,7,7,7","G-Funk,Gangsta Rap,West Coast Rap","8,8,8",0.7875,0.1875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q2/A090-94.mp3
A120-168,Q4,Enya,Paint the Sky With Stars,255.0,"Atmospheric,Calm/Peaceful,Circular,Complex,Detached,Dreamy,Elegant,Ethereal,Gentle,Hypnotic,Light,Lush,Pastoral,Plaintive,Refined,Relaxed,Searching,Sentimental,Slick,Smooth,Soft/Quiet,Soothing,Sophisticated,Sparkling,Wistful","Atmospheric,Calm/Peaceful,Circular,Complex,Detached,Dreamy,Elegant,Ethereal,Gentle,Hypnotic,Light,Lush,Pastoral,Plaintive,Refined,Reflective,Relaxed,Searching,Sentimental,Slick,Smooth,Soft/Quiet,Soothing,Sophisticated,Sparkling,Wistful","8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","International,New Age,Pop/Rock","8,8,8","Introspection,Meditation,Reflection,Relaxation,Sweet Dreams,The Creative Side","8,8,9,9,9,9","Adult Alternative,Adult Alternative Pop/Rock,Alternative/Indie Rock,Celtic,Contemporary Celtic","8,8,8,8,8",0.0875,0.75,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/A120-168.mp3
A148-102,Q1,Billy Joel,Uptown Girl,197.0,"Amiable/Good-Natured,Brash,Bravado,Bright,Cheerful,Fun,Happy,Lively,Nostalgic,Rollicking,Rousing,Swaggering","Amiable/Good-Natured,Brash,Bravado,Bright,Cheerful,Fun,Happy,Lively,Nostalgic,Rollicking,Rousing,Swaggering","5,7,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"In Love,Joy,New Love","5,9,9","Album Rock,Contemporary Pop/Rock,Soft Rock","9,9,9",0.8375,0.85,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/A148-102.mp3
A160-149,Q1,Barry White,"You're the First, the Last, My Everything",0.0,"Elaborate,Hypnotic,Joyous,Lush,Sexy,Sparkling","Atmospheric,Confident,Dreamy,Elaborate,Elegant,Exuberant,Hypnotic,Joyous,Lush,Passionate,Romantic,Sensual,Sentimental,Sexy,Slick,Smooth,Sophisticated,Sparkling,Street-Smart,Stylish","9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9",R&B,9,"Anniversary,Club,In Love,Late Night,New Love,Romantic Evening,Seduction,Sex","9,9,9,9,9,9,9,9","Disco,Smooth Soul,Soul,Urban","9,9,9,9",0.875,0.9,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q1/A160-149.mp3
A174,Q2,Eminem,Renegade,337.0,"Brash,Cold,Confrontational,Fiery,Malevolent,Menacing,Nocturnal,Ominous,Rebellious,Somber,Street-Smart,Swaggering,Uncompromising,Witty","Brash,Cold,Confident,Confrontational,Fiery,Malevolent,Menacing,Nocturnal,Ominous,Rebellious,Somber,Street-Smart,Swaggering,Uncompromising,Witty","6,6,6,7,7,7,8,8,8,8,9,9,9,9,9",Rap,9,"Cool & Cocky,Guys Night Out","9,9","East Coast Rap,Hardcore Rap","9,9",0.75,0.1875,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q2/A174.mp3
MT0000004637,Q3,Charlie Poole,Bulldog Down in Sunny Tennessee,160.0,"Circular,Greasy,Messy","Atmospheric,Autumnal,Circular,Greasy,Gritty,Messy,Organic,Rustic,Wry","5,5,5,5,5,5,7,7,7","Country,International","5,6","Autumn,Celebration,Day Driving,Empowering,Feeling Blue,Freedom,Hanging Out,Late Night,Night Driving,Playful,Rainy Day,Road Trip,Small Gathering,Sunday Afternoon","5,5,5,5,5,5,5,5,5,7,7,7,7,7","Appalachian,North American Traditions,Old-Timey","5,5,6",0.44375,0.25,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000004637.mp3
MT0000008995,Q3,Billie Holiday,You're Too Lovely to Last,,"Angst-Ridden,Autumnal,Bittersweet,Bleak,Brooding,Dramatic,Elegant,Gloomy,Paranoid,Plaintive,Refined,Sad,Sophisticated,Weary","Angst-Ridden,Autumnal,Bittersweet,Bleak,Brooding,Dramatic,Elegant,Gloomy,Paranoid,Plaintive,Refined,Sad,Sophisticated,Weary","6,7,7,7,7,7,7,8,8,8,8,9,9,9","Blues,Jazz,Vocal","7,9,9","Feeling Blue,Heartache,Introspection,Late Night,Long Walk","7,9,9,9,9","Classic Female Blues,Standards,Swing,Torch Songs,Traditional Pop,Vocal Jazz","7,7,8,8,9,9",0.388125,0.34125,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000008995.mp3
MT0000010219,Q3,The Ambassadors,Darling I'm Sorry,129.0,"Anguished/Distraught,Gloomy","Anguished/Distraught,Earnest,Gentle,Gloomy,Innocent,Melancholy,Passionate,Poignant,Reflective,Sad,Sentimental,Sweet","6,7,8,8,8,8,8,9,9,9,9,9",R&B,9,"Feeling Blue,Late Night","9,9","Doo Wop,Early R&B","9,9",0.47375,0.22625,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q3/MT0000010219.mp3
MT0000010844,Q4,Willie Nelson,Blame It on the Times,137.0,"Amiable/Good-Natured,Earnest,Earthy,Gentle,Intimate,Plaintive,Poignant,Refined,Reflective,Sentimental,Soothing,Warm","Amiable/Good-Natured,Earnest,Earthy,Gentle,Intimate,Plaintive,Poignant,Refined,Reflective,Sentimental,Soothing,Warm","5,5,5,5,5,5,5,5,6,7,8,8",Country,5,"Comfort,Heartache,Reminiscing","5,5,5","Contemporary Country,Outlaw Country","5,5",0.295625,0.7,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q4/MT0000010844.mp3
MT0000011975,Q2,Curse of the Golden Vampire,Ultrasonic Meltdown,572.0,"Fierce,Harsh,Hostile,Menacing,Outrageous,Unsettling","Aggressive,Confrontational,Fierce,Harsh,Hostile,Intense,Menacing,Outrageous,Rousing,Tense/Anxious,Uncompromising,Unsettling,Urgent,Visceral,Volatile","3,5,5,6,6,9,9,9,9,9,9,9,9,9,9",Electronic,9,"Empowering,Revolutionary","9,9","Electronica,Experimental Techno,Hardcore Techno,Techno","9,9,9,9",0.54875,0.305,/Users/kat/Desktop/code/projects/data/merge-balanced/audio/Q2/MT0000011975.mp3
