song_id,quadrant,valence,arousal,mood_all,mood_all_weights,genre,genre_weights,theme,theme_weights,style,style_weights,top_k_mood,top_k_genre,top_k_theme,top_k_style,theme_label
A002,Q4,0.7125,0.375,"Agreeable,Positive,Relaxed,Romantic,Serious,Striding,Strong,Yearning","5,5,5,5,5,5,5,5",Pop/Rock,5,"Biographical,Country Life,Family,Lifecycle,Open Road,Reminiscing,Travel,Wisdom","5,5,5,5,5,5,5,5","Adult Contemporary,Contemporary Pop/Rock","5,5","agreeable,positive,relaxed,romantic,serious,striding,strong,yearning",pop/rock,"biographical,country life,family,lifecycle,open road,reminiscing,travel,wisdom","adult contemporary,contemporary pop/rock","T0,T1,T3"
A014,Q1,0.7125,0.9,"Bright,Carefree,Celebratory,Effervescent,Energetic,Exciting,Exuberant,Fun,Gleeful,Greasy,Joyous,Lively,Quirky,Rollicking,Rousing,Slick","5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8","Electronic,Pop/Rock,R&B","6,7,9","Club,Day Driving,Partying,Pool Party,TGIF","6,7,7,7,7","Acid Jazz,Adult Alternative Pop/Rock,Alternative Dance,Alternative/Indie Rock,Dance-Pop,Urban","5,6,7,9,9,9","quirky,rollicking,rousing,slick",r&b,"day driving,partying,pool party,tgif","alternative/indie rock,dance-pop,urban",T2
A090-94,Q2,0.1875,0.7875,"Angry,Angst-Ridden,Anguished/Distraught,Brooding,Complex,Dramatic,Elegant,Fierce,Fiery,Harsh,Hostile,Intense,Melancholy,Menacing,Poignant,Reflective,Searching,Somber,Street-Smart,Theatrical,Thuggish,Uncompromising,Yearning","5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,9,9,9,9",Rap,8,"Affirmation,Cool & Cocky,Empowering,Introspection,Motivation,Reflection,Revolutionary","5,5,5,6,7,7,7","G-Funk,Gangsta Rap,West Coast Rap","8,8,8","theatrical,thuggish,uncompromising,yearning",rap,"motivation,reflection,revolutionary","g-funk,gangsta rap,west coast rap","T2,T5"
A120-168,Q4,0.75,0.0875,"Atmospheric,Calm/Peaceful,Circular,Complex,Detached,Dreamy,Elegant,Ethereal,Gentle,Hypnotic,Light,Lush,Pastoral,Plaintive,Refined,Reflective,Relaxed,Searching,Sentimental,Slick,Smooth,Soft/Quiet,Soothing,Sophisticated,Sparkling,Wistful","8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","International,New Age,Pop/Rock","8,8,8","Introspection,Meditation,Reflection,Relaxation,Sweet Dreams,The Creative Side","8,8,9,9,9,9","Adult Alternative,Adult Alternative Pop/Rock,Alternative/Indie Rock,Celtic,Contemporary Celtic","8,8,8,8,8","ethereal,gentle,hypnotic,light,lush,pastoral,plaintive,refined,reflective,relaxed,searching,sentimental,slick,smooth,soft/quiet,soothing,sophisticated,sparkling,wistful","international,new age,pop/rock","reflection,relaxation,sweet dreams,the creative side","adult alternative,adult alternative pop/rock,alternative/indie rock,celtic,contemporary celtic","T2,T4,T5"
A148-102,Q1,0.85,0.8375,"Amiable/Good-Natured,Brash,Bravado,Bright,Cheerful,Fun,Happy,Lively,Nostalgic,Rollicking,Rousing,Swaggering","5,7,9,9,9,9,9,9,9,9,9,9",Pop/Rock,9,"In Love,Joy,New Love","5,9,9","Album Rock,Contemporary Pop/Rock,Soft Rock","9,9,9","bravado,bright,cheerful,fun,happy,lively,nostalgic,rollicking,rousing,swaggering",pop/rock,"joy,new love","album rock,contemporary pop/rock,soft rock","T1,T6"
A160-149,Q1,0.9,0.875,"Atmospheric,Confident,Dreamy,Elaborate,Elegant,Exuberant,Hypnotic,Joyous,Lush,Passionate,Romantic,Sensual,Sentimental,Sexy,Slick,Smooth,Sophisticated,Sparkling,Street-Smart,Stylish","9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9",R&B,9,"Anniversary,Club,In Love,Late Night,New Love,Romantic Evening,Seduction,Sex","9,9,9,9,9,9,9,9","Disco,Smooth Soul,Soul,Urban","9,9,9,9","atmospheric,confident,dreamy,elaborate,elegant,exuberant,hypnotic,joyous,lush,passionate,romantic,sensual,sentimental,sexy,slick,smooth,sophisticated,sparkling,street-smart,stylish",r&b,"anniversary,club,in love,late night,new love,romantic evening,seduction,sex","disco,smooth soul,soul,urban","T2,T5,T6"
A174,Q2,0.1875,0.75,"Brash,Cold,Confident,Confrontational,Fiery,Malevolent,Menacing,Nocturnal,Ominous,Rebellious,Somber,Street-Smart,Swaggering,Uncompromising,Witty","6,6,6,7,7,7,8,8,8,8,9,9,9,9,9",Rap,9,"Cool & Cocky,Guys Night Out","9,9","East Coast Rap,Hardcore Rap","9,9","somber,street-smart,swaggering,uncompromising,witty",rap,"cool & cocky,guys night out","east coast rap,hardcore rap",T2
MT0000004637,Q3,0.25,0.44375,"Atmospheric,Autumnal,Circular,Greasy,Gritty,Messy,Organic,Rustic,Wry","5,5,5,5,5,5,7,7,7","Country,International","5,6","Autumn,Celebration,Day Driving,Empowering,Feeling Blue,Freedom,Hanging Out,Late Night,Night Driving,Playful,Rainy Day,Road Trip,Small Gathering,Sunday Afternoon","5,5,5,5,5,5,5,5,5,7,7,7,7,7","Appalachian,North American Traditions,Old-Timey","5,5,6","organic,rustic,wry",international,"playful,rainy day,road trip,small gathering,sunday afternoon",old-timey,"T2,T4"
MT0000008995,Q3,0.34125,0.388125,"Angst-Ridden,Autumnal,Bittersweet,Bleak,Brooding,Dramatic,Elegant,Gloomy,Paranoid,Plaintive,Refined,Sad,Sophisticated,Weary","6,7,7,7,7,7,7,8,8,8,8,9,9,9","Blues,Jazz,Vocal","7,9,9","Feeling Blue,Heartache,Introspection,Late Night,Long Walk","7,9,9,9,9","Classic Female Blues,Standards,Swing,Torch Songs,Traditional Pop,Vocal Jazz","7,7,8,8,9,9","sad,sophisticated,weary","jazz,vocal","heartache,introspection,late night,long walk","traditional pop,vocal jazz",T5
MT0000010219,Q3,0.22625,0.47375,"Anguished/Distraught,Earnest,Gentle,Gloomy,Innocent,Melancholy,Passionate,Poignant,Reflective,Sad,Sentimental,Sweet","6,7,8,8,8,8,8,9,9,9,9,9",R&B,9,"Feeling Blue,Late Night","9,9","Doo Wop,Early R&B","9,9","poignant,reflective,sad,sentimental,sweet",r&b,"feeling blue,late night","doo wop,early r&b",T5
